MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading
367396710,2021-01-01T11:35:33,37.93767,-122.42846000000002,10.9,346.2,347.0
367396710,2021-01-01T11:33:13,37.93081,-122.42672,10.7,348.6,350.0
367396710,2021-01-01T11:34:22,37.93418,-122.42755,10.9,349.8,350.0
367396710,2021-01-01T11:40:12,37.95131,-122.43157,9.9,358.4,0.0
367396710,2021-01-01T11:43:31,37.96007,-122.43133,9.3,2.5,0.0
367396710,2021-01-01T11:39:03,37.94792,-122.43132,10.5,354.5,354.0
367396710,2021-01-01T11:18:32,37.88805,-122.41188,11.0,331.9,330.0
367396710,2021-01-01T11:41:13,37.95398,-122.43162,9.5,1.8,2.0
367396710,2021-01-01T11:42:23,37.95703,-122.43148,9.4,2.2,2.0
367396710,2021-01-01T11:50:23,37.97782,-122.42829,9.0,23.5,22.0
367396710,2021-01-01T11:55:02,37.98837,-122.42256,7.9,22.3,21.0
367396710,2021-01-01T11:45:52,37.9664,-122.4314,9.3,355.6,0.0
367396710,2021-01-01T11:44:43,37.96327,-122.43134,9.6,0.3,359.0
367396710,2021-01-01T11:46:53,37.96905,-122.43148,9.5,6.7,10.0
367396710,2021-01-01T11:31:02,37.92437,-122.42525,10.9,351.0,351.0
367396710,2021-01-01T11:51:33,37.98052,-122.42682,9.1,24.3,21.0
367396710,2021-01-01T11:53:51,37.98595,-122.42388,8.3,23.6,21.0
367396710,2021-01-01T12:01:13,38.00112,-122.41547,7.9,24.1,21.0
367396710,2021-01-01T12:02:22,38.00339,-122.41394,7.9,29.7,28.0
367396710,2021-01-01T11:56:11,37.99076,-122.42128999999998,8.2,24.0,21.0
367396710,2021-01-01T12:00:02,37.99873,-122.41682,8.3,24.1,21.0
367396710,2021-01-01T11:59:43,37.99805,-122.41721,8.0,24.9,21.0
367396710,2021-01-01T12:03:32,38.00558,-122.41225,7.8,32.4,29.0
367396710,2021-01-01T12:13:41,38.0191,-122.39003,8.2,65.9,64.0
367396710,2021-01-01T12:11:23,38.01696,-122.39601,8.0,65.9,63.0
